state_id,energy,J,parity,m1_true,m2_true,m3_true,r_true
22423,4134.051884,5,f,1,4,0,1
22428,5059.045413,5,f,3,2,0,4
22429,5127.322299,5,f,2,4,0,3
22430,5257.209817,5,f,3,2,0,3
22431,5357.758859,5,f,2,4,0,2
22432,5448.936377,5,f,3,2,0,2
22435,5591.926081,5,f,2,4,0,1
22436,5639.02932,5,f,0,5,1,1
22438,5656.598381,5,f,3,2,0,1
22444,6484.777533,5,f,4,2,0,4
22445,6573.670897,5,f,3,4,0,3
22446,6682.272377,5,f,4,2,0,3
22449,6810.155145,5,f,3,4,0,2
22450,6835.428027,5,f,1,5,1,2
22453,6956.38717,5,f,2,3,1,2
22455,7057.014115,5,f,3,4,0,1
22456,7076.264143,5,f,1,5,1,1
22457,7113.892054,5,f,4,2,0,1
22458,7166.196185,5,f,2,3,1,1
22461,7256.924498,5,f,0,4,2,1
22470,7943.943952,5,f,3,3,1,4
22472,8023.522962,5,f,2,5,1,3
22474,8112.514232,5,f,5,2,0,3
22478,8269.98961,5,f,2,5,1,2
22480,8372.026187,5,f,2,2,2,3
22483,8441.883184,5,f,1,4,2,2
22484,8519.011384,5,f,2,5,1,1
22490,8660.838889,5,f,1,4,2,1
22506,9358.104975,5,f,4,3,1,4
22507,9456.515436,5,f,3,5,1,3
22514,9654.207339,5,f,5,1,1,3
22515,9707.898794,5,f,3,5,1,2
22519,9798.801893,5,f,4,3,1,2
22521,9849.376184,5,f,5,1,1,2
22532,10074.915722,5,f,5,1,1,1
22535,10138.066744,5,f,0,5,3,1
22545,10493.815993,5,f,0,2,4,1
22551,10690.074185,5,f,6,1,1,5
22556,10867.206535,5,f,6,1,1,4
22568,11168.922678,5,f,3,1,3,4
22578,11345.784949,5,f,3,1,3,3
22580,11418.228546,5,f,2,3,3,2
22587,11502.180746,5,f,3,1,3,2
22595,11621.987773,5,f,2,3,3,1
22597,11673.762681,5,f,3,1,3,1
22612,12112.857977,5,f,0,1,5,1
22643,12688.69958,5,f,4,1,3,3
22687,13410.524445,5,f,1,1,5,1
22753,14411.266605,5,f,2,1,5,3
22768,14570.989093,5,f,2,1,5,2
22778,14717.540668,5,f,2,1,5,1
22851,15717.679971,5,f,3,1,5,3
22871,15872.737391,5,f,3,1,5,2
26466,3252.398791,5,e,1,3,0,2
